'august 14 1733', '1733-08-14'
'27 may 1545', '1545-05-27'
'thursday 11 june 1914', '1914-06-11'
'monday may 29 1561', '1561-05-29'
'september 19 1891', '1891-09-19'
'2 march 1791', '1791-03-02'
'mon 2 jul 1928', '1928-07-02'
'dec 23 1637', '1637-12-23'
'friday 4 september 1840', '1840-09-04'
'sunday may 21 1572', '1572-05-21'
'oct 12 1702', '1702-10-12'
'1871 20 september', '1871-09-20'
'fri 2 may 1636', '1636-05-02'
'mar 26 1961', '1961-03-26'
'27 may 1949', '1949-05-27'
'monday february 6 1882', '1882-02-06'
'march 29 1686', '1686-03-29'
'may 18 1979', '1979-05-18'
'28 august 1707', '1707-08-28'
'may 3 1817', '1817-05-03'
'17 october 1696', '1696-10-17'
'sunday april 22 1900', '1900-04-22'
'april 8 1650', '1650-04-08'
'3 october 1538', '1538-10-03'
'6/26/42', '1642-06-26'
'jun 9 1733', '1733-06-09'
'thursday november 1 1545', '1545-11-01'
'1825 18 december', '1825-12-18'
'3 november 1895', '1895-11-03'
'tue 17 may 1707', '1707-05-17'
'january 20 1655', '1655-01-20'
'sep 26 1824', '1824-09-26'
'5 november 1988', '1988-11-05'
'28 july 1679', '1679-07-28'
'march 29 2001', '2001-03-29'
'oct 2 1582', '1582-10-02'
'november 15 1781', '1781-11-15'
'sun 1 may 1667', '1667-05-01'
'21/12/1830', '1830-12-21'
'july 9 1689', '1689-07-09'
'feb 26 1807', '1807-02-26'
'august 12 1770', '1770-08-12'
'wed 1536 11 november', '1536-11-11'
'1948 1 april', '1948-04-01'
'august 31 1632', '1632-08-31'
'1602 26 feb', '1602-02-26'
'tue 1647 8 january', '1647-01-08'
'april 6 1788', '1788-04-06'
'november 29 1681', '1681-11-29'
'10 july 2034', '2034-07-10'
'wednesday july 29 1744', '1744-07-29'
'sun 1609 20 december', '1609-12-20'
'25 november 1541', '1541-11-25'
'1585 20 oct', '1585-10-20'
'nov 5 2013', '2013-11-05'
'sunday june 18 1747', '1747-06-18'
'aug 16 1573', '1573-08-16'
'jul 15 2047', '2047-07-15'
'jul 9 1965', '1965-07-09'
'oct 29 1794', '1794-10-29'
'november 21 1540', '1540-11-21'
'december 23 1883', '1883-12-23'
'july 13 1665', '1665-07-13'
'tuesday may 29 1629', '1629-05-29'
'tuesday july 8 1625', '1625-07-08'
'tuesday september 4 1764', '1764-09-04'
'august 26 1650', '1650-08-26'
'sun 30 may 1565', '1565-05-30'
'tuesday 1731 9 01', '1731-01-09'
'1717 3 june', '1717-06-03'
'wednesday october 20 1920', '1920-10-20'
'4/2/76', '1876-04-02'
'4 september 1973', '1973-09-04'
'mon 8 dec 1980', '1980-12-08'
'19 january 1622', '1622-01-19'
'6 jan 1609', '1609-01-06'
'17 march 1637', '1637-03-17'
'tuesday october 20 1874', '1874-10-20'
'friday december 10 1604', '1604-12-10'
'mar 30 2034', '2034-03-30'
'may 14 1711', '1711-05-14'
'1850 27 may', '1850-05-27'
'aug 8 1875', '1875-08-08'
'jun 8 1559', '1559-06-08'
'19 february 1964', '1964-02-19'
'friday april 2 1841', '1841-04-02'
'18 march 1729', '1729-03-18'
'tuesday october 22 1585', '1585-10-22'
'monday february 18 1697', '1697-02-18'
'sat 2068 27 october', '2068-10-27'
'3/17/07', '1907-03-17'
'mar 31 1655', '1655-03-31'
'1795 27 february', '1795-02-27'
'may 19 2040', '2040-05-19'
'5 november 2042', '2042-11-05'
'jun 14 1885', '1885-06-14'
'monday january 15 1996', '1996-01-15'
'may 10 1665', '1665-05-10'
'tuesday 1914 14 04', '1914-04-14'
'aug 6 1777', '1777-08-06'
'thursday 2010 11 02', '2010-02-11'
'3 july 2050', '2050-07-03'
'march 22 2034', '2034-03-22'
'1585 16 august', '1585-08-16'
'thursday 1619 23 05', '1619-05-23'
'12/12/31', '1631-12-12'
'may 5 1703', '1703-05-05'
'dec 16 1965', '1965-12-16'
'7 april 1814', '1814-04-07'
'friday october 17 2042', '2042-10-17'
'sunday may 10 1739', '1739-05-10'
'october 28 1837', '1837-10-28'
'march 25 1696', '1696-03-25'
'mar 20 1868', '1868-03-20'
'1715 23 january', '1715-01-23'
'february 22 1995', '1995-02-22'
'wednesday july 3 1996', '1996-07-03'
'sat 1653 17 may', '1653-05-17'
'jan 28 2021', '2021-01-28'
'1801 25 dec', '1801-12-25'
'7 february 1789', '1789-02-07'
'25 may 1722', '1722-05-25'
'april 24 2061', '2061-04-24'
'september 25 1532', '1532-09-25'
'fri 18 apr 1969', '1969-04-18'
'april 24 1961', '1961-04-24'
'1638 9 feb', '1638-02-09'
'sat 1 sep 1860', '1860-09-01'
'mon 2015 8 june', '2015-06-08'
'1 july 1825', '1825-07-01'
'9 october 2066', '2066-10-09'
'thu 15 nov 1736', '1736-11-15'
'12/12/1877', '1877-12-12'
'1891 27 aug', '1891-08-27'
'october 22 1709', '1709-10-22'
'15 march 1982', '1982-03-15'
'1852 30 apr', '1852-04-30'
'july 4 1571', '1571-07-04'
'apr 25 1620', '1620-04-25'
'friday february 11 1538', '1538-02-11'
'may 3 1552', '1552-05-03'
'jun 30 1663', '1663-06-30'
'november 26 1634', '1634-11-26'
'aug 17 1773', '1773-08-17'
'2030 30 april', '2030-04-30'
'tue 16 nov 2032', '2032-11-16'
'jul 14 1590', '1590-07-14'
'jun 29 1717', '1717-06-29'
'february 27 1790', '1790-02-27'
'11 january 1621', '1621-01-11'
'18 jan 1574', '1574-01-18'
'wednesday december 8 1841', '1841-12-08'
'march 26 1641', '1641-03-26'
'thursday october 20 1538', '1538-10-20'
'5 april 1582', '1582-04-05'
'oct 31 1590', '1590-10-31'
'1779 8 jun', '1779-06-08'
'february 13 1671', '1671-02-13'
'january 22 1700', '1700-01-22'
'5 oct 2063', '2063-10-05'
'apr 22 2011', '2011-04-22'
'november 22 1836', '1836-11-22'
'10 november 1912', '1912-11-10'
'march 7 1549', '1549-03-07'
'feb 1 1644', '1644-02-01'
'10 june 1560', '1560-06-10'
'saturday february 23 1957', '1957-02-23'
'26/04/1689', '1689-04-26'
'26 december 1864', '1864-12-26'
'november 4 1626', '1626-11-04'
'25 april 1770', '1770-04-25'
'thu 2015 28 may', '2015-05-28'
'july 19 1546', '1546-07-19'
'april 28 1733', '1733-04-28'
'sunday august 10 1856', '1856-08-10'
'august 28 1809', '1809-08-28'
'mar 1 1929', '1929-03-01'
'14 july 1847', '1847-07-14'
'october 29 1880', '1880-10-29'
'10 september 1900', '1900-09-10'
'february 11 1723', '1723-02-11'
'1876 24 mar', '1876-03-24'
'march 24 1855', '1855-03-24'
'1807 19 may', '1807-05-19'
'thursday 1768 2 06', '1768-06-02'
'september 29 1606', '1606-09-29'
'jun 16 1893', '1893-06-16'
'1629 8 november', '1629-11-08'
'sep 11 1688', '1688-09-11'
'december 30 1530', '1530-12-30'
'7/8/45', '1545-07-08'
'15 january 2030', '2030-01-15'
'october 19 1677', '1677-10-19'
'9/13/36', '1736-09-13'
'may 18 2033', '2033-05-18'
'20/07/2035', '2035-07-20'
'august 13 1742', '1742-08-13'
'march 28 1719', '1719-03-28'
'november 26 1708', '1708-11-26'
'03/04/1634', '1634-04-03'
'sunday august 27 1972', '1972-08-27'
'march 31 1695', '1695-03-31'
'mar 29 1643', '1643-03-29'
'tuesday march 14 1550', '1550-03-14'
'22 august 2009', '2009-08-22'
'august 12 1788', '1788-08-12'
'wed 1689 11 may', '1689-05-11'
'1998 16 august', '1998-08-16'
'monday july 1 1630', '1630-07-01'
'nov 25 1573', '1573-11-25'
'december 18 1781', '1781-12-18'
'7/29/63', '1663-07-29'
'july 1 1919', '1919-07-01'
'apr 4 1667', '1667-04-04'
'may 9 1837', '1837-05-09'
'december 6 1859', '1859-12-06'
'26 jul 1593', '1593-07-26'
'nov 5 1560', '1560-11-05'
'september 2 1832', '1832-09-02'
'november 13 1665', '1665-11-13'
'sunday february 24 1878', '1878-02-24'
'february 13 1666', '1666-02-13'
'sunday march 27 1910', '1910-03-27'
'march 17 1820', '1820-03-17'
'jan 13 1903', '1903-01-13'
'wed 30 mar 1904', '1904-03-30'
'1584 18 jun', '1584-06-18'
'19 may 1638', '1638-05-19'
'december 26 1974', '1974-12-26'
'june 4 1935', '1935-06-04'
'february 28 1948', '1948-02-28'
'mar 10 1749', '1749-03-10'
'august 5 1686', '1686-08-05'
'1844 7 dec', '1844-12-07'
'dec 6 1827', '1827-12-06'
'friday march 31 1972', '1972-03-31'
'tuesday october 9 1714', '1714-10-09'
'november 24 1632', '1632-11-24'
'22 august 1959', '1959-08-22'
'april 8 1605', '1605-04-08'
'march 9 1768', '1768-03-09'
'january 30 2002', '2002-01-30'
'28 jul 1623', '1623-07-28'
'6 september 1934', '1934-09-06'
'wednesday april 14 1548', '1548-04-14'
'monday january 31 2056', '2056-01-31'
'thursday 1884 7 02', '1884-02-07'
'friday february 25 1898', '1898-02-25'
'22/07/2012', '2012-07-22'
'nov 29 2021', '2021-11-29'
'14 january 1997', '1997-01-14'
'18 december 1551', '1551-12-18'
'18 jan 1765', '1765-01-18'
'5 november 1910', '1910-11-05'
'22/07/2054', '2054-07-22'
'aug 24 2004', '2004-08-24'
'march 9 2005', '2005-03-09'
'26 sep 2050', '2050-09-26'
'19 november 1676', '1676-11-19'
'tuesday 12 march 1799', '1799-03-12'
'saturday july 2 1904', '1904-07-02'
'10/11/1838', '1838-11-10'
'23 january 1580', '1580-01-23'
'10 aug 1992', '1992-08-10'
'march 28 1984', '1984-03-28'
'feb 1 2018', '2018-02-01'
'7/23/12', '1812-07-23'
'aug 3 1995', '1995-08-03'
'thu 1542 29 october', '1542-10-29'
'oct 6 1900', '1900-10-06'
'march 18 1781', '1781-03-18'
'15 february 1932', '1932-02-15'
'15 dec 1699', '1699-12-15'
'sat 1664 26 january', '1664-01-26'
'1790 24 nov', '1790-11-24'
'sunday 1858 15 08', '1858-08-15'
'january 6 1643', '1643-01-06'
'5 july 1663', '1663-07-05'
'january 6 1677', '1677-01-06'
'december 31 2003', '2003-12-31'
'march 19 1617', '1617-03-19'
'july 6 1592', '1592-07-06'
'1766 19 may', '1766-05-19'
'october 7 2070', '2070-10-07'
'7 dec 1558', '1558-12-07'
'sunday 30 april 1944', '1944-04-30'
'january 26 1523', '1523-01-26'
'25 june 1560', '1560-06-25'
'sunday 17 february 1669', '1669-02-17'
'oct 26 1987', '1987-10-26'
'december 4 1837', '1837-12-04'
'tue 1939 12 december', '1939-12-12'
'tuesday october 12 1982', '1982-10-12'
'29 august 1634', '1634-08-29'
'15 nov 1626', '1626-11-15'
'monday march 11 1624', '1624-03-11'
'1989 11 jul', '1989-07-11'
'wed 2 apr 1884', '1884-04-02'
'apr 15 1731', '1731-04-15'
'12 july 1676', '1676-07-12'
'sep 20 2030', '2030-09-20'
'5/12/67', '1867-05-12'
'nov 8 1653', '1653-11-08'
'sat 18 nov 1684', '1684-11-18'
'28 june 1895', '1895-06-28'
'25 july 2019', '2019-07-25'
'friday november 25 1881', '1881-11-25'
'september 18 1906', '1906-09-18'
'12 may 1761', '1761-05-12'
'1677 18 july', '1677-07-18'
'2/8/16', '1716-02-08'
'11 july 1539', '1539-07-11'
'jan 27 2033', '2033-01-27'
'december 31 1981', '1981-12-31'
'1 october 1695', '1695-10-01'
'fri 1886 4 june', '1886-06-04'
'tuesday 2041 17 12', '2041-12-17'
'december 5 1891', '1891-12-05'
'feb 26 2044', '2044-02-26'
'march 21 2018', '2018-03-21'
'2/3/81', '1581-02-03'
'21 august 1945', '1945-08-21'
'november 23 1993', '1993-11-23'
'1662 8 june', '1662-06-08'
'thursday 19 february 1880', '1880-02-19'
'19 october 2015', '2015-10-19'
'june 4 1721', '1721-06-04'
'thu 19 jul 2029', '2029-07-19'
'jan 19 1560', '1560-01-19'
'mar 29 1869', '1869-03-29'
'march 23 1755', '1755-03-23'
'december 29 1601', '1601-12-29'
'24 january 1593', '1593-01-24'
'nov 23 1696', '1696-11-23'
'1 april 1593', '1593-04-01'
'october 27 1975', '1975-10-27'
'22 january 1556', '1556-01-22'
'jun 13 1561', '1561-06-13'
'february 23 1666', '1666-02-23'
'jul 10 1917', '1917-07-10'
'saturday october 23 1683', '1683-10-23'
'sat 1886 8 may', '1886-05-08'
'sep 11 1746', '1746-09-11'
'september 7 1756', '1756-09-07'
'apr 4 1594', '1594-04-04'
'wednesday january 4 1995', '1995-01-04'
'apr 5 1964', '1964-04-05'
'august 21 1712', '1712-08-21'
'friday 16 october 1587', '1587-10-16'
'april 8 1706', '1706-04-08'
'wed 1551 14 february', '1551-02-14'
'1/5/02', '1802-01-05'
'monday april 14 1608', '1608-04-14'
'28 september 1959', '1959-09-28'
'02/10/1870', '1870-10-02'
'28 jun 1976', '1976-06-28'
'may 17 1879', '1879-05-17'
'thursday april 6 1606', '1606-04-06'
'12 november 1530', '1530-11-12'
'may 21 1842', '1842-05-21'
'sun 11 oct 1615', '1615-10-11'
'sunday 18 august 1771', '1771-08-18'
'wednesday 1879 15 01', '1879-01-15'
'wednesday october 18 1797', '1797-10-18'
'november 30 1995', '1995-11-30'
'may 16 1718', '1718-05-16'
'9 august 1768', '1768-08-09'
'july 14 1872', '1872-07-14'
'8 april 1970', '1970-04-08'
'september 29 2062', '2062-09-29'
'1625 26 jan', '1625-01-26'
'18 november 1805', '1805-11-18'
'december 8 1909', '1909-12-08'
'2 aug 1564', '1564-08-02'
'aug 18 1950', '1950-08-18'
'saturday 1541 27 09', '1541-09-27'
'mar 2 1524', '1524-03-02'
'jan 21 1642', '1642-01-21'
'saturday november 5 1588', '1588-11-05'
'november 27 2060', '2060-11-27'
'25 may 1767', '1767-05-25'
'april 18 1606', '1606-04-18'
'saturday 26 august 1645', '1645-08-26'
'august 20 1728', '1728-08-20'
'1896 3 dec', '1896-12-03'
'june 7 1558', '1558-06-07'
'december 3 1950', '1950-12-03'
'august 17 1874', '1874-08-17'
'1990 18 october', '1990-10-18'
'september 14 1525', '1525-09-14'
'9 september 1910', '1910-09-09'
'jun 11 1999', '1999-06-11'
'december 14 1773', '1773-12-14'
'mar 16 1757', '1757-03-16'
'5 june 1842', '1842-06-05'
'may 3 1879', '1879-05-03'
'mar 14 1663', '1663-03-14'
'may 30 1847', '1847-05-30'
'fri 27 sep 2002', '2002-09-27'
'jan 3 1629', '1629-01-03'
'sunday november 29 1637', '1637-11-29'
'saturday 1587 26 12', '1587-12-26'
'23 april 1581', '1581-04-23'
'may 11 1692', '1692-05-11'
'31 march 1684', '1684-03-31'
'08/11/1972', '1972-11-08'
'9 october 1648', '1648-10-09'
'tue 24 nov 1818', '1818-11-24'
'30 oct 1703', '1703-10-30'
'february 4 1674', '1674-02-04'
'tuesday 1594 22 11', '1594-11-22'
'wednesday july 16 1681', '1681-07-16'
'25 october 1989', '1989-10-25'
'17 november 2019', '2019-11-17'
'september 11 1629', '1629-09-11'
'sat 3 oct 1553', '1553-10-03'
'december 17 1552', '1552-12-17'
'january 28 1830', '1830-01-28'
'27 dec 1982', '1982-12-27'
'tuesday june 22 1784', '1784-06-22'
'thu 10 aug 1578', '1578-08-10'
'sunday july 6 2031', '2031-07-06'
'january 14 1701', '1701-01-14'
'jul 8 1594', '1594-07-08'
'oct 26 1991', '1991-10-26'
'december 17 1674', '1674-12-17'
'4/25/88', '1788-04-25'
'9 october 1939', '1939-10-09'
'december 7 1948', '1948-12-07'
'may 8 1870', '1870-05-08'
'tuesday 10 april 1759', '1759-04-10'
'monday november 18 1754', '1754-11-18'
'january 13 1686', '1686-01-13'
'26 may 2069', '2069-05-26'
'sep 11 1614', '1614-09-11'
'7 january 1686', '1686-01-07'
'fri 2054 4 december', '2054-12-04'
'june 25 1821', '1821-06-25'
'march 24 1708', '1708-03-24'
'thu 1706 27 may', '1706-05-27'
'wed 1547 29 january', '1547-01-29'
'3 may 1763', '1763-05-03'
'27 september 1997', '1997-09-27'
'august 21 1867', '1867-08-21'
'jun 26 2065', '2065-06-26'
'9 april 1530', '1530-04-09'
'friday september 1 1572', '1572-09-01'
'19 january 1683', '1683-01-19'
'monday october 30 1719', '1719-10-30'
'26 june 1563', '1563-06-26'
'may 17 1671', '1671-05-17'
'20 march 1597', '1597-03-20'
'1831 31 may', '1831-05-31'
'wednesday 28 april 1700', '1700-04-28'
'saturday november 14 1789', '1789-11-14'
'thursday july 6 1719', '1719-07-06'
'sunday october 31 1813', '1813-10-31'
'6 february 1769', '1769-02-06'
'monday 1805 29 04', '1805-04-29'
'14 july 2068', '2068-07-14'
'sunday december 1 1816', '1816-12-01'
'saturday july 4 1620', '1620-07-04'
'sat 12 oct 1963', '1963-10-12'
'12 february 1764', '1764-02-12'
'15 december 1686', '1686-12-15'
'sunday october 7 1725', '1725-10-07'
'sun 1721 2 february', '1721-02-02'
'nov 8 2034', '2034-11-08'
'5 june 1680', '1680-06-05'
'march 23 1875', '1875-03-23'
'april 8 1770', '1770-04-08'
'jun 14 1715', '1715-06-14'
'aug 14 1572', '1572-08-14'
'jul 28 1999', '1999-07-28'
'27 apr 2029', '2029-04-27'
'16/03/1875', '1875-03-16'
'june 13 1864', '1864-06-13'
'december 27 1778', '1778-12-27'
'28 april 1525', '1525-04-28'
'8 february 1567', '1567-02-08'
'oct 10 1591', '1591-10-10'
'july 22 1910', '1910-07-22'
'february 12 1883', '1883-02-12'
'18 february 1694', '1694-02-18'
'11/20/47', '1647-11-20'
'jul 30 1776', '1776-07-30'
'7/28/29', '1629-07-28'
'12 april 1848', '1848-04-12'
'1730 30 aug', '1730-08-30'
'28/10/1782', '1782-10-28'
'fri 1723 5 march', '1723-03-05'
'21 october 1690', '1690-10-21'
'mar 9 1745', '1745-03-09'
'may 16 1639', '1639-05-16'
'april 23 1601', '1601-04-23'
'september 16 1598', '1598-09-16'
'mar 19 1562', '1562-03-19'
'monday 22 august 1588', '1588-08-22'
'march 3 1892', '1892-03-03'
'january 19 1831', '1831-01-19'
'friday march 5 1802', '1802-03-05'
'sun 23 sep 1917', '1917-09-23'
'saturday 13 june 1716', '1716-06-13'
'dec 22 1656', '1656-12-22'
'sat 4 apr 1761', '1761-04-04'
'september 26 1860', '1860-09-26'
'monday november 12 1674', '1674-11-12'
'friday may 3 1709', '1709-05-03'
'13 november 1923', '1923-11-13'
'thu 9 nov 1916', '1916-11-09'
'11/13/34', '1734-11-13'
'september 16 1692', '1692-09-16'
'may 11 1982', '1982-05-11'
'sep 4 1760', '1760-09-04'
'march 12 1722', '1722-03-12'
'jun 23 1839', '1839-06-23'
'monday 15 january 1551', '1551-01-15'
'august 3 1668', '1668-08-03'
'october 24 1985', '1985-10-24'
'may 19 2026', '2026-05-19'
'13 january 1594', '1594-01-13'
'25 march 2041', '2041-03-25'
'aug 24 1943', '1943-08-24'
'05/12/1572', '1572-12-05'
'april 22 1817', '1817-04-22'
'jun 30 1802', '1802-06-30'
'17 september 1564', '1564-09-17'
'29 may 1844', '1844-05-29'
'11 september 1597', '1597-09-11'
'apr 3 1770', '1770-04-03'
'3/14/42', '1542-03-14'
'nov 17 1942', '1942-11-17'
'friday 12 october 1601', '1601-10-12'
'1543 27 november', '1543-11-27'
'28 january 1612', '1612-01-28'
'july 28 1934', '1934-07-28'
'1728 20 oct', '1728-10-20'
'10 july 1731', '1731-07-10'
'march 20 1609', '1609-03-20'
'jan 10 1624', '1624-01-10'
'01/12/1852', '1852-12-01'
'october 5 1556', '1556-10-05'
'october 27 1580', '1580-10-27'
'thursday april 12 1928', '1928-04-12'
'1915 20 mar', '1915-03-20'
'tuesday july 11 1967', '1967-07-11'
'thursday november 20 1558', '1558-11-20'
'friday april 7 2034', '2034-04-07'
'jul 20 1793', '1793-07-20'
'nov 28 1612', '1612-11-28'
'3 july 1852', '1852-07-03'
'december 24 1540', '1540-12-24'
'friday 1713 22 12', '1713-12-22'
'apr 2 1704', '1704-04-02'
'sat 13 oct 2040', '2040-10-13'
'monday april 21 1975', '1975-04-21'
'sun 11 jan 1699', '1699-01-11'
'1732 15 sep', '1732-09-15'
'nov 5 1612', '1612-11-05'
'friday october 24 1738', '1738-10-24'
'9/14/77', '1677-09-14'
'saturday february 10 1607', '1607-02-10'
'nov 1 1582', '1582-11-01'
'01/02/2015', '2015-02-01'
'6 september 1543', '1543-09-06'
'friday may 5 1848', '1848-05-05'
'january 24 1982', '1982-01-24'
'september 21 1899', '1899-09-21'
'april 6 1690', '1690-04-06'
'21 september 1625', '1625-09-21'
'23 may 1722', '1722-05-23'
'apr 26 1562', '1562-04-26'
'17 july 1820', '1820-07-17'
'december 3 1605', '1605-12-03'
'saturday april 9 1588', '1588-04-09'
'12/07/1585', '1585-07-12'
'tuesday june 13 1809', '1809-06-13'
'31 december 1904', '1904-12-31'
'27 february 1795', '1795-02-27'
'1701 21 jun', '1701-06-21'
'friday may 2 1569', '1569-05-02'
'tuesday 3 june 1930', '1930-06-03'
'august 21 1554', '1554-08-21'
'22 june 2004', '2004-06-22'
'1 september 1612', '1612-09-01'
'28 april 1617', '1617-04-28'
'september 26 1579', '1579-09-26'
'november 21 1987', '1987-11-21'
'19 october 1617', '1617-10-19'
'16 december 1866', '1866-12-16'
'1947 22 sep', '1947-09-22'
'january 30 1692', '1692-01-30'
'1707 27 may', '1707-05-27'
'8/9/75', '1875-08-09'
'28 september 2040', '2040-09-28'
'tue 23 mar 1554', '1554-03-23'
'july 12 1536', '1536-07-12'
'13 mar 1523', '1523-03-13'
'nov 3 2013', '2013-11-03'
'friday april 9 2055', '2055-04-09'
'1704 18 august', '1704-08-18'
'saturday october 1 1672', '1672-10-01'
'16 march 2048', '2048-03-16'
'22 october 1919', '1919-10-22'
'2000 22 may', '2000-05-22'
'september 19 1526', '1526-09-19'
'july 24 1974', '1974-07-24'
'24 october 1950', '1950-10-24'
'1797 5 august', '1797-08-05'
'8 march 1556', '1556-03-08'
'sep 22 1879', '1879-09-22'
'sat 26 mar 1859', '1859-03-26'
'tuesday 1 february 1910', '1910-02-01'
'15 april 1972', '1972-04-15'
'may 14 1858', '1858-05-14'
'april 27 1945', '1945-04-27'
'17 july 1626', '1626-07-17'
'march 14 1812', '1812-03-14'
'july 27 1712', '1712-07-27'
'1 may 1857', '1857-05-01'
'9 june 1661', '1661-06-09'
'30 jul 1533', '1533-07-30'
'2/6/34', '1634-02-06'
'may 17 1675', '1675-05-17'
'february 14 1857', '1857-02-14'
'28 apr 1869', '1869-04-28'
'april 1 1730', '1730-04-01'
'28 february 1725', '1725-02-28'
'29 december 1593', '1593-12-29'
'jun 19 2066', '2066-06-19'
'sunday january 19 1930', '1930-01-19'
'monday 1901 21 10', '1901-10-21'
'saturday 12 january 1591', '1591-01-12'
'july 18 1847', '1847-07-18'
'saturday august 24 1963', '1963-08-24'
'august 19 1849', '1849-08-19'
'thursday april 5 1674', '1674-04-05'
'20/03/1905', '1905-03-20'
'9 may 1848', '1848-05-09'
'tue 15 dec 2037', '2037-12-15'
'august 18 1632', '1632-08-18'
'wednesday june 19 2052', '2052-06-19'
'11 february 1847', '1847-02-11'
'wednesday november 4 2015', '2015-11-04'
'jun 28 1588', '1588-06-28'
'friday january 29 1723', '1723-01-29'
'2/18/64', '2064-02-18'
'jul 10 2014', '2014-07-10'
'january 2 2045', '2045-01-02'
'25 november 2030', '2030-11-25'
'wed 7 jan 1531', '1531-01-07'
'saturday february 25 1561', '1561-02-25'
'29 jan 1945', '1945-01-29'
'20/12/1939', '1939-12-20'
'5/19/17', '1717-05-19'
'dec 6 1711', '1711-12-06'
'friday 1986 25 07', '1986-07-25'
'mar 18 1576', '1576-03-18'
'9 nov 1694', '1694-11-09'
'march 14 1863', '1863-03-14'
'1786 17 mar', '1786-03-17'
'4/5/44', '1744-04-05'
'january 24 1594', '1594-01-24'
'april 11 1560', '1560-04-11'
'30 may 1758', '1758-05-30'
'wednesday 2026 14 10', '2026-10-14'
'1660 28 feb', '1660-02-28'
'18 aug 1703', '1703-08-18'
'1 apr 1821', '1821-04-01'
'mon 20 dec 2021', '2021-12-20'
'wednesday 2068 18 04', '2068-04-18'
'5 june 1556', '1556-06-05'
'9 may 2000', '2000-05-09'
'26 august 1997', '1997-08-26'
'18/10/2050', '2050-10-18'
'23 august 1741', '1741-08-23'
'may 1 1976', '1976-05-01'
'friday march 8 1765', '1765-03-08'
'14 january 1908', '1908-01-14'
'march 18 2007', '2007-03-18'
'sun 1803 20 march', '1803-03-20'
'wed 31 jul 1793', '1793-07-31'
'june 5 1732', '1732-06-05'
'4/24/83', '1883-04-24'
'friday august 7 1750', '1750-08-07'
'monday 25 september 1662', '1662-09-25'
'october 7 1747', '1747-10-07'
'sun 1704 26 october', '1704-10-26'
'sat 20 aug 1904', '1904-08-20'
'11/4/85', '1785-11-04'
'dec 28 1918', '1918-12-28'
'oct 13 2020', '2020-10-13'
'tuesday 14 april 2009', '2009-04-14'
'friday 1873 2 05', '1873-05-02'
'9 april 1924', '1924-04-09'
'thu 1971 12 august', '1971-08-12'
'oct 21 1733', '1733-10-21'
'october 17 1959', '1959-10-17'
'8 november 1832', '1832-11-08'
'1602 19 aug', '1602-08-19'
'11/3/73', '1673-11-03'
'sun 1825 18 september', '1825-09-18'
'monday 1805 6 05', '1805-05-06'
'25 july 1962', '1962-07-25'
'monday august 9 1706', '1706-08-09'
'15 september 1615', '1615-09-15'
'19 may 1726', '1726-05-19'
'21 february 1652', '1652-02-21'
'17 mar 1917', '1917-03-17'
'sunday november 26 1539', '1539-11-26'
'4 april 1640', '1640-04-04'
'thursday june 4 2015', '2015-06-04'
'october 16 1972', '1972-10-16'
'friday 1541 7 02', '1541-02-07'
'august 7 2031', '2031-08-07'
'20 november 1833', '1833-11-20'
'26 apr 1553', '1553-04-26'
'30 august 1598', '1598-08-30'
'17 mar 1533', '1533-03-17'
'sunday november 8 1654', '1654-11-08'
'saturday may 30 1570', '1570-05-30'
'october 21 1673', '1673-10-21'
'monday march 12 1742', '1742-03-12'
'15 april 1542', '1542-04-15'
'march 8 1814', '1814-03-08'
'tuesday 26 october 1537', '1537-10-26'
'april 2 1779', '1779-04-02'
'wednesday 1924 2 07', '1924-07-02'
'july 23 1740', '1740-07-23'
'24 june 1694', '1694-06-24'
'saturday march 7 1699', '1699-03-07'
'february 9 1862', '1862-02-09'
'fri 1868 17 april', '1868-04-17'
'13 february 1841', '1841-02-13'
'may 18 2003', '2003-05-18'
'2070 25 jan', '2070-01-25'
'march 4 2028', '2028-03-04'
'18 aug 1806', '1806-08-18'
'2000 14 july', '2000-07-14'
'10 september 1656', '1656-09-10'
'wednesday 13 december 1673', '1673-12-13'
'november 3 2017', '2017-11-03'
'march 19 1569', '1569-03-19'
'apr 4 1535', '1535-04-04'
'dec 4 1821', '1821-12-04'
'thursday november 26 1772', '1772-11-26'
'november 18 1983', '1983-11-18'
'sep 16 1943', '1943-09-16'
'21 july 1765', '1765-07-21'
'july 27 1797', '1797-07-27'
'16 aug 2024', '2024-08-16'
'1676 20 nov', '1676-11-20'
'sunday 11 july 1948', '1948-07-11'
'sunday 1691 18 03', '1691-03-18'
'tuesday may 30 1595', '1595-05-30'
'09/09/1774', '1774-09-09'
'saturday 9 september 1911', '1911-09-09'
'1755 17 february', '1755-02-17'
'monday 1800 6 10', '1800-10-06'
'friday 1589 24 11', '1589-11-24'
'october 28 1757', '1757-10-28'
'september 27 2040', '2040-09-27'
'23 may 1835', '1835-05-23'
'friday march 4 1825', '1825-03-04'
'friday 1784 11 06', '1784-06-11'
'january 13 1760', '1760-01-13'
'wednesday 30 january 1658', '1658-01-30'
'tuesday 1625 16 12', '1625-12-16'
'sep 22 1795', '1795-09-22'
'2 march 2012', '2012-03-02'
'oct 10 1602', '1602-10-10'
'saturday 18 november 1899', '1899-11-18'
'dec 2 1906', '1906-12-02'
'fri 1 jul 1791', '1791-07-01'
'july 11 2064', '2064-07-11'
